"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
90000,"Уральская, 21 корп. 1",Санкт-Петербург,1698,53,Универсальное помещение,https://spb.n1.ru/view/115613438/?open_card_kn
190000,"Кондратьевский проспект, 68 корп. 4",Санкт-Петербург,3084,61,Универсальное помещение,https://spb.n1.ru/view/116313448/?open_card_kn
112000,"Кузнецовская, 22",Санкт-Петербург,1600,70,Универсальное помещение,https://spb.n1.ru/view/116313400/?open_card_kn
150000,"Приморское шоссе, 4 корп. 1",Санкт-Петербург,485,309,Универсальное помещение,https://spb.n1.ru/view/96524328/?open_card_kn
50000,"Малиновская, 8",Санкт-Петербург,1000,50,Универсальное помещение,https://spb.n1.ru/view/115610406/?open_card_kn
214500,"Дыбенко, 8 корп. 1",Санкт-Петербург,1300,165,Универсальное помещение,https://spb.n1.ru/view/115967485/?open_card_kn
95000,"Загородный проспект, 34",Санкт-Петербург,1221,77,Универсальное помещение,https://spb.n1.ru/view/116311926/?open_card_kn
80000,"Энгельса проспект, 29",Санкт-Петербург,2500,32,Универсальное помещение,https://spb.n1.ru/view/111638918/?open_card_kn
225281,"проезд Толубеевский, 34 корп. 3",Санкт-Петербург,1600,140,Универсальное помещение,https://spb.n1.ru/view/109927874/?open_card_kn
64880,"Левашовский проспект, 12",Санкт-Петербург,2000,32,Универсальное помещение,https://spb.n1.ru/view/111241553/?open_card_kn
140000,"Малая Бухарестская, 12",Санкт-Петербург,1734,80,Универсальное помещение,https://spb.n1.ru/view/116309687/?open_card_kn
110000,"Кронверкский проспект, 21/2",Санкт-Петербург,1193,92,Универсальное помещение,https://spb.n1.ru/view/116309626/?open_card_kn
34000,"Двинская, 10",Санкт-Петербург,1000,34,Универсальное помещение,https://spb.n1.ru/view/109492879/?open_card_kn
219000,"Академика Константинова, 1 корп. 1",Санкт-Петербург,3000,73,Универсальное помещение,https://spb.n1.ru/view/116309612/?open_card_kn
150000,"Савушкина, 16",Санкт-Петербург,2018,74,Универсальное помещение,https://spb.n1.ru/view/116308669/?open_card_kn
113200,"Полярников, 9",Санкт-Петербург,1099,103,Универсальное помещение,https://spb.n1.ru/view/116308615/?open_card_kn
65000,"3-я Советская, 10",Санкт-Петербург,3009,21,Универсальное помещение,https://spb.n1.ru/view/116308549/?open_card_kn
110000,"Моисеенко, 25/24",Санкт-Петербург,1089,101,Универсальное помещение,https://spb.n1.ru/view/115960943/?open_card_kn
590000,"Просвещения проспект, 34",Санкт-Петербург,3687,160,Универсальное помещение,https://spb.n1.ru/view/115960937/?open_card_kn
128500,"Кубинская, 82 корп. 3",Санкт-Петербург,2500,51,Универсальное помещение,https://spb.n1.ru/view/113485796/?open_card_kn
